2023-10-29 16:23:46.381659, place: table, cell phone
2023-10-29 16:23:46.423520, place: table, cell phone
2023-10-29 16:23:46.465027, place: table, cell phone
2023-10-29 16:23:46.504820, place: table, cell phone
2023-10-29 16:23:46.544393, place: table, cell phone
2023-10-29 16:23:46.583527, place: table, cell phone
2023-10-29 16:23:46.622682, place: table, cell phone
2023-10-29 16:23:46.662282, place: table, cell phone
2023-10-29 16:23:46.701594, place: table, cell phone
2023-10-29 16:23:46.741535, place: table, cell phone
2023-10-29 16:23:46.783772, place: table, cell phone
2023-10-29 16:23:46.823203, place: table, cell phone
2023-10-29 16:23:46.863982, place: table, cell phone
2023-10-29 16:23:46.903862, place: table, cell phone
2023-10-29 16:23:46.943234, place: table, cell phone
2023-10-29 16:23:46.984558, place: table, cell phone
2023-10-29 16:23:47.024119, place: table, cell phone
2023-10-29 16:23:47.063325, place: table, cell phone
2023-10-29 16:23:47.102688, place: table, cell phone
2023-10-29 16:23:47.146539, place: table, cell phone
2023-10-29 16:23:47.187851, place: table, cell phone
2023-10-29 16:23:47.227461, place: table, cell phone
2023-10-29 16:23:47.266472, place: table, cell phone
2023-10-29 16:23:47.305622, place: table, cell phone
2023-10-29 16:23:47.345079, place: table, cell phone
2023-10-29 16:23:47.386313, place: table, cell phone
2023-10-29 16:23:47.425508, place: table, cell phone
2023-10-29 16:23:47.464988, place: table, cell phone
2023-10-29 16:23:47.504274, place: table, cell phone
2023-10-29 16:23:47.543718, place: table, cell phone
2023-10-29 16:23:47.582725, place: table, cell phone
2023-10-29 16:23:47.622389, place: table, cell phone
2023-10-29 16:23:47.661527, place: table, cell phone
2023-10-29 16:23:47.702723, place: table, cell phone
2023-10-29 16:23:47.743893, place: table, cell phone
2023-10-29 16:23:47.784382, place: table, cell phone
2023-10-29 16:23:47.824705, place: table, cell phone
2023-10-29 16:23:47.866911, place: table, cell phone
2023-10-29 16:23:47.909553, place: table, cell phone
2023-10-29 16:23:47.951310, place: table, cell phone
2023-10-29 16:23:48.036102, place: table, cell phone
